FIELD_ID1_Label	PLOT_ID_ANNUAL1_Label	YIELDS42_DRY_WEIGHT_1000_SEEDS	YIELDS42_DRY_WEIGHT
AF133-Bn-Y2	AF133-Bn-Y2-P1	3.27	121.93
AF133-Bn-Y2	AF133-Bn-Y2-P2	3.39	138.68
AF133-Bn-Y2	AF133-Bn-Y2-P3	3.23	160.99
AF133-Bn-Y2	AF133-Bn-Y2-P4	3.39	169.2
AF134-Bn-Y2	AF134-Bn-Y2-P1	3.27	121.93
AF134-Bn-Y2	AF134-Bn-Y2-P2	3.39	138.68
AF134-Bn-Y2	AF134-Bn-Y2-P3	3.23	160.99
AF134-Bn-Y2	AF134-Bn-Y2-P4	3.39	169.2
AF135-Bn-Y2	AF135-Bn-Y2-P1	3.33	38.55
AF135-Bn-Y2	AF135-Bn-Y2-P2	3.81	4.1
AF135-Bn-Y2	AF135-Bn-Y2-P3	3.2	26.84
AF135-Bn-Y2	AF135-Bn-Y2-P4	3.74	29.36
AF136-Bn-Y2	AF136-Bn-Y2-P1	3.85	64.72
AF136-Bn-Y2	AF136-Bn-Y2-P2	3.55	128.12
AF136-Bn-Y2	AF136-Bn-Y2-P3	3.64	36.28
AF136-Bn-Y2	AF136-Bn-Y2-P4	4.9	59.28
AF137-Bn-Y2	AF137-Bn-Y2-P1	3.64	122.3
AF137-Bn-Y2	AF137-Bn-Y2-P2	3.71	246.8
AF137-Bn-Y2	AF137-Bn-Y2-P3	3.54	212.34
AF137-Bn-Y2	AF137-Bn-Y2-P4	3.68	186.4
AF138-Bn-Y2	AF138-Bn-Y2-P1	3.5	100.88
AF138-Bn-Y2	AF138-Bn-Y2-P2	3.83	183.86
AF138-Bn-Y2	AF138-Bn-Y2-P3	3.85	192
AF138-Bn-Y2	AF138-Bn-Y2-P4	3.75	225.17
AF139-Bn-Y2	AF139-Bn-Y2-P1	3.58	97
AF139-Bn-Y2	AF139-Bn-Y2-P2	3.22	592.4299999999999
AF139-Bn-Y2	AF139-Bn-Y2-P3	3.94	157.95
AF139-Bn-Y2	AF139-Bn-Y2-P4	3.93	166.4
AF140-Bn-Y2	AF140-Bn-Y2-P1	3.61	242.24
AF140-Bn-Y2	AF140-Bn-Y2-P2	3.71	227.28
AF140-Bn-Y2	AF140-Bn-Y2-P3	3.81	182.26
AF140-Bn-Y2	AF140-Bn-Y2-P4	4.18	585.95
AF141-Bn-Y2	AF141-Bn-Y2-P1	3.61	242.24
AF141-Bn-Y2	AF141-Bn-Y2-P2	3.71	227.28
AF141-Bn-Y2	AF141-Bn-Y2-P3	3.81	182.26
AF141-Bn-Y2	AF141-Bn-Y2-P4	4.18	585.95
AF142-Bn-Y2	AF142-Bn-Y2-P1	3.73	88.66
AF142-Bn-Y2	AF142-Bn-Y2-P2	3.18	66.18000000000001
AF142-Bn-Y2	AF142-Bn-Y2-P3	3.8	88.36
AF142-Bn-Y2	AF142-Bn-Y2-P4	3.6	229.12
AF143-Bn-Y2	AF143-Bn-Y2-P1	3.73	88.66
AF143-Bn-Y2	AF143-Bn-Y2-P2	3.18	66.18000000000001
AF143-Bn-Y2	AF143-Bn-Y2-P3	3.8	88.36
AF143-Bn-Y2	AF143-Bn-Y2-P4	3.6	229.12
AF144-Bn-Y2	AF144-Bn-Y2-P1	3.51	184.95
AF144-Bn-Y2	AF144-Bn-Y2-P2	3.9	310.83
AF144-Bn-Y2	AF144-Bn-Y2-P3	3.49	198.49
AF144-Bn-Y2	AF144-Bn-Y2-P4	3.51	159.2
AF145-Bn-Y2	AF145-Bn-Y2-P1	3.51	184.95
AF145-Bn-Y2	AF145-Bn-Y2-P2	3.9	310.83
AF145-Bn-Y2	AF145-Bn-Y2-P3	3.49	198.49
AF145-Bn-Y2	AF145-Bn-Y2-P4	3.51	159.2
AF146-Bn-Y2	AF146-Bn-Y2-P1	3.64	122.3
AF146-Bn-Y2	AF146-Bn-Y2-P2	3.71	246.8
AF146-Bn-Y2	AF146-Bn-Y2-P3	3.54	212.34
AF146-Bn-Y2	AF146-Bn-Y2-P4	3.68	186.4
AF147-Bn-Y2	AF147-Bn-Y2-P1	3.59	397.63
AF147-Bn-Y2	AF147-Bn-Y2-P2	3.76	423
AF147-Bn-Y2	AF147-Bn-Y2-P3	3.57	409.88
AF147-Bn-Y2	AF147-Bn-Y2-P4	NA	NA
AF148-Bn-Y2	AF148-Bn-Y2-P1	3.5	100.88
AF148-Bn-Y2	AF148-Bn-Y2-P2	3.83	183.86
AF148-Bn-Y2	AF148-Bn-Y2-P3	3.85	192
AF148-Bn-Y2	AF148-Bn-Y2-P4	3.75	225.17
AF149-Bn-Y2	AF149-Bn-Y2-P1	3.45	352.88
AF149-Bn-Y2	AF149-Bn-Y2-P2	3.11	407.2
AF149-Bn-Y2	AF149-Bn-Y2-P3	3.86	436.04
AF149-Bn-Y2	AF149-Bn-Y2-P4	NA	NA
AF150-Bn-Y2	AF150-Bn-Y2-P1	3.58	97
AF150-Bn-Y2	AF150-Bn-Y2-P2	3.22	592.4299999999999
AF150-Bn-Y2	AF150-Bn-Y2-P3	3.94	157.95
AF150-Bn-Y2	AF150-Bn-Y2-P4	3.93	166.4
AF151-Bn-Y2	AF151-Bn-Y2-P1	3.59	199.69
AF151-Bn-Y2	AF151-Bn-Y2-P2	3.33	223.4
AF151-Bn-Y2	AF151-Bn-Y2-P3	3.8	139.43
AF151-Bn-Y2	AF151-Bn-Y2-P4	3.89	213.56
AF152-Ta-Y2	AF152-Ta-Y2-P1	3.61	242.24
AF152-Ta-Y2	AF152-Ta-Y2-P2	3.71	227.28
AF152-Ta-Y2	AF152-Ta-Y2-P3	3.81	182.26
AF152-Ta-Y2	AF152-Ta-Y2-P4	4.18	585.95
AF153-Ta-Y2	AF153-Ta-Y2-P1	3.58	337.29
AF153-Ta-Y2	AF153-Ta-Y2-P2	3.28	122.33
AF153-Ta-Y2	AF153-Ta-Y2-P3	3.81	209.8
AF153-Ta-Y2	AF153-Ta-Y2-P4	3.56	369.79
AF154-Ta-Y2	AF154-Ta-Y2-P1	3.73	88.66
AF154-Ta-Y2	AF154-Ta-Y2-P2	3.18	66.18000000000001
AF154-Ta-Y2	AF154-Ta-Y2-P3	3.8	88.36
AF154-Ta-Y2	AF154-Ta-Y2-P4	3.6	229.12
AF155-Ta-Y2	AF155-Ta-Y2-P1	32.51	434.08
AF155-Ta-Y2	AF155-Ta-Y2-P2	31.54	348.53
AF155-Ta-Y2	AF155-Ta-Y2-P3	29.11	564.6
AF155-Ta-Y2	AF155-Ta-Y2-P4	33.23	453.24
AF156-Ta-Y2	AF156-Ta-Y2-P1	36.17	343.82
AF156-Ta-Y2	AF156-Ta-Y2-P2	33.44	365.25
AF156-Ta-Y2	AF156-Ta-Y2-P3	35.04	391.75
AF156-Ta-Y2	AF156-Ta-Y2-P4	36.72	443.11
AF157-Ta-Y2	AF157-Ta-Y2-P1	35.82	210.71
AF157-Ta-Y2	AF157-Ta-Y2-P2	38.21	199.21
AF157-Ta-Y2	AF157-Ta-Y2-P3	37.18	307.09
AF157-Ta-Y2	AF157-Ta-Y2-P4	39.53	287.8
AF158-Ta-Y2	AF158-Ta-Y2-P1	39.58	506.11
AF158-Ta-Y2	AF158-Ta-Y2-P2	37.44	632.64
AF158-Ta-Y2	AF158-Ta-Y2-P3	35.22	500.28
AF158-Ta-Y2	AF158-Ta-Y2-P4	37.46	421.52
AF159-Ta-Y2	AF159-Ta-Y2-P1	33.46	300.7
AF159-Ta-Y2	AF159-Ta-Y2-P2	33.01	263.75
AF159-Ta-Y2	AF159-Ta-Y2-P3	34.23	328.89
AF159-Ta-Y2	AF159-Ta-Y2-P4	34.76	311.4
AF160-Ta-Y2	AF160-Ta-Y2-P1	31.55	286.47
AF160-Ta-Y2	AF160-Ta-Y2-P2	32.95	478
AF160-Ta-Y2	AF160-Ta-Y2-P3	29.24	530.74
AF160-Ta-Y2	AF160-Ta-Y2-P4	26.92	414.01
AF161-Ta-Y2	AF161-Ta-Y2-P1	39.06	284.51
AF161-Ta-Y2	AF161-Ta-Y2-P2	36.02	287.8
AF161-Ta-Y2	AF161-Ta-Y2-P3	38.2	224.77
AF161-Ta-Y2	AF161-Ta-Y2-P4	39.53	285.6
AF162-Ta-Y2	AF162-Ta-Y2-P1	28.05	616.03
AF162-Ta-Y2	AF162-Ta-Y2-P2	31.68	509.25
AF162-Ta-Y2	AF162-Ta-Y2-P3	33.12	750.46
AF162-Ta-Y2	AF162-Ta-Y2-P4	31.01	536.65
AF163-Ta-Y2	AF163-Ta-Y2-P1	34.46	332.6
AF163-Ta-Y2	AF163-Ta-Y2-P2	34.21	447
AF163-Ta-Y2	AF163-Ta-Y2-P3	32.87	529.08
AF163-Ta-Y2	AF163-Ta-Y2-P4	36.2	575
AF164-Ta-Y2	AF164-Ta-Y2-P1	30.74	242.17
AF164-Ta-Y2	AF164-Ta-Y2-P2	31.77	218.8
AF164-Ta-Y2	AF164-Ta-Y2-P3	31.69	324.5
AF164-Ta-Y2	AF164-Ta-Y2-P4	30.26	283.27
AF165-Ta-Y2	AF165-Ta-Y2-P1	32.04	500.5
AF165-Ta-Y2	AF165-Ta-Y2-P2	29.26	530.72
AF165-Ta-Y2	AF165-Ta-Y2-P3	31.68	581.91
AF165-Ta-Y2	AF165-Ta-Y2-P4	28.58	453.61
AF166-Ta-Y2	AF166-Ta-Y2-P1	25.98	505.1
AF166-Ta-Y2	AF166-Ta-Y2-P2	25.02	408.51
AF166-Ta-Y2	AF166-Ta-Y2-P3	22.58	367.4
AF166-Ta-Y2	AF166-Ta-Y2-P4	24.77	337.88
AF167-Ta-Y2	AF167-Ta-Y2-P1	23.94	434.72
AF167-Ta-Y2	AF167-Ta-Y2-P2	22.46	431.3
AF167-Ta-Y2	AF167-Ta-Y2-P3	22.9	431.1
AF167-Ta-Y2	AF167-Ta-Y2-P4	25.47	463.3
AF168-Ta-Y2	AF168-Ta-Y2-P1	25.27	341.42
AF168-Ta-Y2	AF168-Ta-Y2-P2	25.9	436.6
AF168-Ta-Y2	AF168-Ta-Y2-P3	26.46	445.52
AF168-Ta-Y2	AF168-Ta-Y2-P4	25.16	398.14
AF169-Ta-Y2	AF169-Ta-Y2-P1	32.24	73.77
AF169-Ta-Y2	AF169-Ta-Y2-P2	32.86	137.88
AF169-Ta-Y2	AF169-Ta-Y2-P3	33.27	157.57
AF169-Ta-Y2	AF169-Ta-Y2-P4	31.56	124.57
AF170-Ta-Y2	AF170-Ta-Y2-P1	34.34	412.7
AF170-Ta-Y2	AF170-Ta-Y2-P2	34.07	326.94
AF170-Ta-Y2	AF170-Ta-Y2-P3	34.12	591.89
AF170-Ta-Y2	AF170-Ta-Y2-P4	34.95	477.71
AF171-Ta-Y2	AF171-Ta-Y2-P1	32.07	119.77
AF171-Ta-Y2	AF171-Ta-Y2-P2	34.47	122.09
AF171-Ta-Y2	AF171-Ta-Y2-P3	26.96	47.5
AF171-Ta-Y2	AF171-Ta-Y2-P4	28.49	54.1
AF172-Ta-Y2	AF172-Ta-Y2-P1	31.53	109.8
AF172-Ta-Y2	AF172-Ta-Y2-P2	30.1	102.29
AF172-Ta-Y2	AF172-Ta-Y2-P3	31.34	65.06999999999999
AF172-Ta-Y2	AF172-Ta-Y2-P4	32.5	76.88
AF173-Ta-Y2	AF173-Ta-Y2-P1	30.3	105.71
AF173-Ta-Y2	AF173-Ta-Y2-P2	30.7	108.61
AF173-Ta-Y2	AF173-Ta-Y2-P3	30	86.95999999999999
AF173-Ta-Y2	AF173-Ta-Y2-P4	30.46	113.42
AF174-Ta-Y2	AF174-Ta-Y2-P1	36.59	309.85
AF174-Ta-Y2	AF174-Ta-Y2-P2	39.95	302.9
AF174-Ta-Y2	AF174-Ta-Y2-P3	36.64	251.82
AF174-Ta-Y2	AF174-Ta-Y2-P4	38.64	498.41
AF175-Ta-Y2	AF175-Ta-Y2-P1	28.05	616.03
AF175-Ta-Y2	AF175-Ta-Y2-P2	31.68	509.25
AF175-Ta-Y2	AF175-Ta-Y2-P3	33.12	750.46
AF175-Ta-Y2	AF175-Ta-Y2-P4	31.01	536.65
AF176-Ta-Y2	AF176-Ta-Y2-P1	34.46	332.6
AF176-Ta-Y2	AF176-Ta-Y2-P2	34.21	447
AF176-Ta-Y2	AF176-Ta-Y2-P3	32.87	529.08
AF176-Ta-Y2	AF176-Ta-Y2-P4	36.2	575
AF177-Ta-Y2	AF177-Ta-Y2-P1	30.74	242.17
AF177-Ta-Y2	AF177-Ta-Y2-P2	31.77	218.8
AF177-Ta-Y2	AF177-Ta-Y2-P3	31.69	324.5
AF177-Ta-Y2	AF177-Ta-Y2-P4	30.26	283.27
AF178-Ta-Y2	AF178-Ta-Y2-P1	32.04	500.5
AF178-Ta-Y2	AF178-Ta-Y2-P2	29.26	530.72
AF178-Ta-Y2	AF178-Ta-Y2-P3	31.68	581.91
AF178-Ta-Y2	AF178-Ta-Y2-P4	28.58	453.61
AF179-Ta-Y2	AF179-Ta-Y2-P1	25.98	505.1
AF179-Ta-Y2	AF179-Ta-Y2-P2	25.02	408.51
AF179-Ta-Y2	AF179-Ta-Y2-P3	22.58	367.4
AF179-Ta-Y2	AF179-Ta-Y2-P4	24.77	337.88
AF180-Ta-Y2	AF180-Ta-Y2-P1	28.05	616.03
AF180-Ta-Y2	AF180-Ta-Y2-P2	31.68	509.25
AF180-Ta-Y2	AF180-Ta-Y2-P3	33.12	750.46
AF180-Ta-Y2	AF180-Ta-Y2-P4	31.01	536.65
AF181-Ta-Y2	AF181-Ta-Y2-P1	34.46	332.6
AF181-Ta-Y2	AF181-Ta-Y2-P2	34.21	447
AF181-Ta-Y2	AF181-Ta-Y2-P3	32.87	529.08
AF181-Ta-Y2	AF181-Ta-Y2-P4	36.2	575
AF182-Ta-Y2	AF182-Ta-Y2-P1	30.74	242.17
AF182-Ta-Y2	AF182-Ta-Y2-P2	31.77	218.8
AF182-Ta-Y2	AF182-Ta-Y2-P3	31.69	324.5
AF182-Ta-Y2	AF182-Ta-Y2-P4	30.26	283.27
AF183-Ta-Y2	AF183-Ta-Y2-P1	32.04	500.5
AF183-Ta-Y2	AF183-Ta-Y2-P2	29.26	530.72
AF183-Ta-Y2	AF183-Ta-Y2-P3	31.68	581.91
AF183-Ta-Y2	AF183-Ta-Y2-P4	28.58	453.61
AF184-Ta-Y2	AF184-Ta-Y2-P1	25.98	505.1
AF184-Ta-Y2	AF184-Ta-Y2-P2	25.02	408.51
AF184-Ta-Y2	AF184-Ta-Y2-P3	22.58	367.4
AF184-Ta-Y2	AF184-Ta-Y2-P4	24.77	337.88
AF185-Ta-Y2	AF185-Ta-Y2-P1	32.51	434.08
AF185-Ta-Y2	AF185-Ta-Y2-P2	31.54	348.53
AF185-Ta-Y2	AF185-Ta-Y2-P3	29.11	564.6
AF185-Ta-Y2	AF185-Ta-Y2-P4	33.23	453.24
AF186-Ta-Y2	AF186-Ta-Y2-P1	36.17	343.82
AF186-Ta-Y2	AF186-Ta-Y2-P2	33.44	365.25
AF186-Ta-Y2	AF186-Ta-Y2-P3	35.04	391.75
AF186-Ta-Y2	AF186-Ta-Y2-P4	36.72	443.11
AF187-Ta-Y2	AF187-Ta-Y2-P1	35.82	210.71
AF187-Ta-Y2	AF187-Ta-Y2-P2	38.21	199.21
AF187-Ta-Y2	AF187-Ta-Y2-P3	37.18	307.09
AF187-Ta-Y2	AF187-Ta-Y2-P4	39.53	287.8
AF188-Ta-Y2	AF188-Ta-Y2-P1	39.58	506.11
AF188-Ta-Y2	AF188-Ta-Y2-P2	37.44	632.64
AF188-Ta-Y2	AF188-Ta-Y2-P3	35.22	500.28
AF188-Ta-Y2	AF188-Ta-Y2-P4	37.46	421.52
AF189-Ta-Y2	AF189-Ta-Y2-P1	33.46	300.7
AF189-Ta-Y2	AF189-Ta-Y2-P2	33.01	263.75
AF189-Ta-Y2	AF189-Ta-Y2-P3	34.23	328.89
AF189-Ta-Y2	AF189-Ta-Y2-P4	34.76	311.4
AF190-Ta-Y2	AF190-Ta-Y2-P1	31.55	286.47
AF190-Ta-Y2	AF190-Ta-Y2-P2	32.95	478
AF190-Ta-Y2	AF190-Ta-Y2-P3	29.24	530.74
AF190-Ta-Y2	AF190-Ta-Y2-P4	26.92	414.01
AF191-Ta-Y2	AF191-Ta-Y2-P1	39.06	284.51
AF191-Ta-Y2	AF191-Ta-Y2-P2	36.02	287.8
AF191-Ta-Y2	AF191-Ta-Y2-P3	38.2	224.77
AF191-Ta-Y2	AF191-Ta-Y2-P4	39.53	285.6
AF192-Ta-Y2	AF192-Ta-Y2-P1	28.05	616.03
AF192-Ta-Y2	AF192-Ta-Y2-P2	31.68	509.25
AF192-Ta-Y2	AF192-Ta-Y2-P3	33.12	750.46
AF192-Ta-Y2	AF192-Ta-Y2-P4	31.01	536.65
AF193-Ta-Y2	AF193-Ta-Y2-P1	34.46	332.6
AF193-Ta-Y2	AF193-Ta-Y2-P2	34.21	447
AF193-Ta-Y2	AF193-Ta-Y2-P3	32.87	529.08
AF193-Ta-Y2	AF193-Ta-Y2-P4	36.2	575
AF194-Ta-Y2	AF194-Ta-Y2-P1	30.74	242.17
AF194-Ta-Y2	AF194-Ta-Y2-P2	31.77	218.8
AF194-Ta-Y2	AF194-Ta-Y2-P3	31.69	324.5
AF194-Ta-Y2	AF194-Ta-Y2-P4	30.26	283.27
AF195-Ta-Y2	AF195-Ta-Y2-P1	32.04	500.5
AF195-Ta-Y2	AF195-Ta-Y2-P2	29.26	530.72
AF195-Ta-Y2	AF195-Ta-Y2-P3	31.68	581.91
AF195-Ta-Y2	AF195-Ta-Y2-P4	28.58	453.61
AF196-Ta-Y2	AF196-Ta-Y2-P1	25.98	505.1
AF196-Ta-Y2	AF196-Ta-Y2-P2	25.02	408.51
AF196-Ta-Y2	AF196-Ta-Y2-P3	22.58	367.4
AF196-Ta-Y2	AF196-Ta-Y2-P4	24.77	337.88
AF197-Ta-Y2	AF197-Ta-Y2-P1	23.94	434.72
AF197-Ta-Y2	AF197-Ta-Y2-P2	22.46	431.3
AF197-Ta-Y2	AF197-Ta-Y2-P3	22.9	431.1
AF197-Ta-Y2	AF197-Ta-Y2-P4	25.47	463.3
AF198-Ta-Y2	AF198-Ta-Y2-P1	25.27	341.42
AF198-Ta-Y2	AF198-Ta-Y2-P2	25.9	436.6
AF198-Ta-Y2	AF198-Ta-Y2-P3	26.46	445.52
AF198-Ta-Y2	AF198-Ta-Y2-P4	25.16	398.14
