FIELD_ID1_Label	FIELD_ID1_CAMPAIGN	LOCATION1_REGION	PLOT_ID_ANNUAL1_Label	YIELDS87_DRY_WEIGHT_1000_SEEDS	YIELDS87_DRY_WEIGHT	AGRICULTURE1_Label	AGRICULTURE1_SOIL_MANAGMENT	AGRICULTURE1_CROP	AGRICULTURE1_AGRI_TYPE
AF104-Bn-Y2	Y2	EAST	AF104-Bn-Y2-P1	3.59	199.69	AGRITYPE-53	DIRECT_DRILLING	Bn	CONVENTIONAL
AF104-Bn-Y2	Y2	EAST	AF104-Bn-Y2-P2	3.33	223.4	AGRITYPE-53	DIRECT_DRILLING	Bn	CONVENTIONAL
AF104-Bn-Y2	Y2	EAST	AF104-Bn-Y2-P3	3.8	139.43	AGRITYPE-53	DIRECT_DRILLING	Bn	CONVENTIONAL
AF104-Bn-Y2	Y2	EAST	AF104-Bn-Y2-P4	3.89	213.56	AGRITYPE-53	DIRECT_DRILLING	Bn	CONVENTIONAL
AF105-Bn-Y2	Y2	EAST	AF105-Bn-Y2-P1	3.58	337.29	AGRITYPE-54	DIRECT_DRILLING	Bn	CONVENTIONAL
AF105-Bn-Y2	Y2	EAST	AF105-Bn-Y2-P2	3.28	122.33	AGRITYPE-54	DIRECT_DRILLING	Bn	CONVENTIONAL
AF105-Bn-Y2	Y2	EAST	AF105-Bn-Y2-P3	3.81	209.8	AGRITYPE-54	DIRECT_DRILLING	Bn	CONVENTIONAL
AF105-Bn-Y2	Y2	EAST	AF105-Bn-Y2-P4	3.56	369.79	AGRITYPE-54	DIRECT_DRILLING	Bn	CONVENTIONAL
AF106-Bn-Y2	Y2	EAST	AF106-Bn-Y2-P1	3.33	38.55	AGRITYPE-55	DIRECT_DRILLING	Bn	CONVENTIONAL
AF106-Bn-Y2	Y2	EAST	AF106-Bn-Y2-P2	3.81	4.1	AGRITYPE-55	DIRECT_DRILLING	Bn	CONVENTIONAL
AF106-Bn-Y2	Y2	EAST	AF106-Bn-Y2-P3	3.2	26.84	AGRITYPE-55	DIRECT_DRILLING	Bn	CONVENTIONAL
AF106-Bn-Y2	Y2	EAST	AF106-Bn-Y2-P4	3.74	29.36	AGRITYPE-55	DIRECT_DRILLING	Bn	CONVENTIONAL
AF107-Bn-Y2	Y2	EAST	AF107-Bn-Y2-P1	3.85	64.72	AGRITYPE-56	DIRECT_DRILLING	Bn	CONVENTIONAL
AF107-Bn-Y2	Y2	EAST	AF107-Bn-Y2-P2	3.55	128.12	AGRITYPE-56	DIRECT_DRILLING	Bn	CONVENTIONAL
AF107-Bn-Y2	Y2	EAST	AF107-Bn-Y2-P3	3.64	36.28	AGRITYPE-56	DIRECT_DRILLING	Bn	CONVENTIONAL
AF107-Bn-Y2	Y2	EAST	AF107-Bn-Y2-P4	4.9	59.28	AGRITYPE-56	DIRECT_DRILLING	Bn	CONVENTIONAL
AF108-Bn-Y2	Y2	EAST	AF108-Bn-Y2-P1	3.59	397.63	AGRITYPE-57	DIRECT_DRILLING	Bn	CONVENTIONAL
AF108-Bn-Y2	Y2	EAST	AF108-Bn-Y2-P2	3.76	423	AGRITYPE-57	DIRECT_DRILLING	Bn	CONVENTIONAL
AF108-Bn-Y2	Y2	EAST	AF108-Bn-Y2-P3	3.57	409.88	AGRITYPE-57	DIRECT_DRILLING	Bn	CONVENTIONAL
AF108-Bn-Y2	Y2	EAST	AF108-Bn-Y2-P4	NA	NA	AGRITYPE-57	DIRECT_DRILLING	Bn	CONVENTIONAL
AF109-Bn-Y2	Y2	EAST	AF109-Bn-Y2-P1	3.45	352.88	AGRITYPE-58	DIRECT_DRILLING	Bn	CONVENTIONAL
AF109-Bn-Y2	Y2	EAST	AF109-Bn-Y2-P2	3.11	407.2	AGRITYPE-58	DIRECT_DRILLING	Bn	CONVENTIONAL
AF109-Bn-Y2	Y2	EAST	AF109-Bn-Y2-P3	3.86	436.04	AGRITYPE-58	DIRECT_DRILLING	Bn	CONVENTIONAL
AF109-Bn-Y2	Y2	EAST	AF109-Bn-Y2-P4	NA	NA	AGRITYPE-58	DIRECT_DRILLING	Bn	CONVENTIONAL
AF110-Bn-Y2	Y2	EAST	AF110-Bn-Y2-P1	3.61	242.24	AGRITYPE-59	DIRECT_DRILLING	Bn	CONVENTIONAL
AF110-Bn-Y2	Y2	EAST	AF110-Bn-Y2-P2	3.71	227.28	AGRITYPE-59	DIRECT_DRILLING	Bn	CONVENTIONAL
AF110-Bn-Y2	Y2	EAST	AF110-Bn-Y2-P3	3.81	182.26	AGRITYPE-59	DIRECT_DRILLING	Bn	CONVENTIONAL
AF110-Bn-Y2	Y2	EAST	AF110-Bn-Y2-P4	4.18	585.95	AGRITYPE-59	DIRECT_DRILLING	Bn	CONVENTIONAL
AF111-Bn-Y2	Y2	EAST	AF111-Bn-Y2-P1	3.73	88.66	AGRITYPE-60	DIRECT_DRILLING	Bn	CONVENTIONAL
AF111-Bn-Y2	Y2	EAST	AF111-Bn-Y2-P2	3.18	66.18000000000001	AGRITYPE-60	DIRECT_DRILLING	Bn	CONVENTIONAL
AF111-Bn-Y2	Y2	EAST	AF111-Bn-Y2-P3	3.8	88.36	AGRITYPE-60	DIRECT_DRILLING	Bn	CONVENTIONAL
AF111-Bn-Y2	Y2	EAST	AF111-Bn-Y2-P4	3.6	229.12	AGRITYPE-60	DIRECT_DRILLING	Bn	CONVENTIONAL
AF112-Bn-Y2	Y2	EAST	AF112-Bn-Y2-P1	3.51	184.95	AGRITYPE-61	DIRECT_DRILLING	Bn	CONVENTIONAL
AF112-Bn-Y2	Y2	EAST	AF112-Bn-Y2-P2	3.9	310.83	AGRITYPE-61	DIRECT_DRILLING	Bn	CONVENTIONAL
AF112-Bn-Y2	Y2	EAST	AF112-Bn-Y2-P3	3.49	198.49	AGRITYPE-61	DIRECT_DRILLING	Bn	CONVENTIONAL
AF112-Bn-Y2	Y2	EAST	AF112-Bn-Y2-P4	3.51	159.2	AGRITYPE-61	DIRECT_DRILLING	Bn	CONVENTIONAL
AF113-Bn-Y2	Y2	EAST	AF113-Bn-Y2-P1	3.64	122.3	AGRITYPE-62	DIRECT_DRILLING	Bn	CONVENTIONAL
AF113-Bn-Y2	Y2	EAST	AF113-Bn-Y2-P2	3.71	246.8	AGRITYPE-62	DIRECT_DRILLING	Bn	CONVENTIONAL
AF113-Bn-Y2	Y2	EAST	AF113-Bn-Y2-P3	3.54	212.34	AGRITYPE-62	DIRECT_DRILLING	Bn	CONVENTIONAL
AF113-Bn-Y2	Y2	EAST	AF113-Bn-Y2-P4	3.68	186.4	AGRITYPE-62	DIRECT_DRILLING	Bn	CONVENTIONAL
AF114-Bn-Y2	Y2	EAST	AF114-Bn-Y2-P1	3.5	100.88	AGRITYPE-63	DIRECT_DRILLING	Bn	CONVENTIONAL
AF114-Bn-Y2	Y2	EAST	AF114-Bn-Y2-P2	3.83	183.86	AGRITYPE-63	DIRECT_DRILLING	Bn	CONVENTIONAL
AF114-Bn-Y2	Y2	EAST	AF114-Bn-Y2-P3	3.85	192	AGRITYPE-63	DIRECT_DRILLING	Bn	CONVENTIONAL
AF114-Bn-Y2	Y2	EAST	AF114-Bn-Y2-P4	3.75	225.17	AGRITYPE-63	DIRECT_DRILLING	Bn	CONVENTIONAL
AF115-Bn-Y2	Y2	EAST	AF115-Bn-Y2-P1	3.58	97	AGRITYPE-64	DIRECT_DRILLING	Bn	CONVENTIONAL
AF115-Bn-Y2	Y2	EAST	AF115-Bn-Y2-P2	3.22	592.4299999999999	AGRITYPE-64	DIRECT_DRILLING	Bn	CONVENTIONAL
AF115-Bn-Y2	Y2	EAST	AF115-Bn-Y2-P3	3.94	157.95	AGRITYPE-64	DIRECT_DRILLING	Bn	CONVENTIONAL
AF115-Bn-Y2	Y2	EAST	AF115-Bn-Y2-P4	3.93	166.4	AGRITYPE-64	DIRECT_DRILLING	Bn	CONVENTIONAL
AF116-Bn-Y2	Y2	EAST	AF116-Bn-Y2-P1	3.48	312.22	AGRITYPE-65	DIRECT_DRILLING	Bn	CONVENTIONAL
AF116-Bn-Y2	Y2	EAST	AF116-Bn-Y2-P2	3.71	361.76	AGRITYPE-65	DIRECT_DRILLING	Bn	CONVENTIONAL
AF116-Bn-Y2	Y2	EAST	AF116-Bn-Y2-P3	4.1	110.85	AGRITYPE-65	DIRECT_DRILLING	Bn	CONVENTIONAL
AF116-Bn-Y2	Y2	EAST	AF116-Bn-Y2-P4	2.79	361.66	AGRITYPE-65	DIRECT_DRILLING	Bn	CONVENTIONAL
AF117-Bn-Y2	Y2	EAST	AF117-Bn-Y2-P1	3.55	354.2	AGRITYPE-66	DIRECT_DRILLING	Bn	CONVENTIONAL
AF117-Bn-Y2	Y2	EAST	AF117-Bn-Y2-P2	3.31	338.37	AGRITYPE-66	DIRECT_DRILLING	Bn	CONVENTIONAL
AF117-Bn-Y2	Y2	EAST	AF117-Bn-Y2-P3	3.89	511.54	AGRITYPE-66	DIRECT_DRILLING	Bn	CONVENTIONAL
AF117-Bn-Y2	Y2	EAST	AF117-Bn-Y2-P4	3.73	376.37	AGRITYPE-66	DIRECT_DRILLING	Bn	CONVENTIONAL
AF155-Ta-Y2	Y2	EAST	AF155-Ta-Y2-P1	32.51	434.08	AGRITYPE-154		Ta	CONVENTIONAL
AF155-Ta-Y2	Y2	EAST	AF155-Ta-Y2-P2	31.54	348.53	AGRITYPE-154		Ta	CONVENTIONAL
AF155-Ta-Y2	Y2	EAST	AF155-Ta-Y2-P3	29.11	564.6	AGRITYPE-154		Ta	CONVENTIONAL
AF155-Ta-Y2	Y2	EAST	AF155-Ta-Y2-P4	33.23	453.24	AGRITYPE-154		Ta	CONVENTIONAL
AF157-Ta-Y2	Y2	EAST	AF157-Ta-Y2-P1	35.82	210.71	AGRITYPE-156		Ta	CONVENTIONAL
AF157-Ta-Y2	Y2	EAST	AF157-Ta-Y2-P2	38.21	199.21	AGRITYPE-156		Ta	CONVENTIONAL
AF157-Ta-Y2	Y2	EAST	AF157-Ta-Y2-P3	37.18	307.09	AGRITYPE-156		Ta	CONVENTIONAL
AF157-Ta-Y2	Y2	EAST	AF157-Ta-Y2-P4	39.53	287.8	AGRITYPE-156		Ta	CONVENTIONAL
AF158-Ta-Y2	Y2	EAST	AF158-Ta-Y2-P1	39.58	506.11	AGRITYPE-157		Ta	CONVENTIONAL
AF158-Ta-Y2	Y2	EAST	AF158-Ta-Y2-P2	37.44	632.64	AGRITYPE-157		Ta	CONVENTIONAL
AF158-Ta-Y2	Y2	EAST	AF158-Ta-Y2-P3	35.22	500.28	AGRITYPE-157		Ta	CONVENTIONAL
AF158-Ta-Y2	Y2	EAST	AF158-Ta-Y2-P4	37.46	421.52	AGRITYPE-157		Ta	CONVENTIONAL
AF159-Ta-Y2	Y2	EAST	AF159-Ta-Y2-P1	33.46	300.7	AGRITYPE-158		Ta	CONVENTIONAL
AF159-Ta-Y2	Y2	EAST	AF159-Ta-Y2-P2	33.01	263.75	AGRITYPE-158		Ta	CONVENTIONAL
AF159-Ta-Y2	Y2	EAST	AF159-Ta-Y2-P3	34.23	328.89	AGRITYPE-158		Ta	CONVENTIONAL
AF159-Ta-Y2	Y2	EAST	AF159-Ta-Y2-P4	34.76	311.4	AGRITYPE-158		Ta	CONVENTIONAL
AF162-Ta-Y2	Y2	EAST	AF162-Ta-Y2-P1	28.05	616.03	AGRITYPE-161		Ta	CONVENTIONAL
AF162-Ta-Y2	Y2	EAST	AF162-Ta-Y2-P2	31.68	509.25	AGRITYPE-161		Ta	CONVENTIONAL
AF162-Ta-Y2	Y2	EAST	AF162-Ta-Y2-P3	33.12	750.46	AGRITYPE-161		Ta	CONVENTIONAL
AF162-Ta-Y2	Y2	EAST	AF162-Ta-Y2-P4	31.01	536.65	AGRITYPE-161		Ta	CONVENTIONAL
AF168-Ta-Y2	Y2	EAST	AF168-Ta-Y2-P1	25.27	341.42	AGRITYPE-167		Ta	CONVENTIONAL
AF168-Ta-Y2	Y2	EAST	AF168-Ta-Y2-P2	25.9	436.6	AGRITYPE-167		Ta	CONVENTIONAL
AF168-Ta-Y2	Y2	EAST	AF168-Ta-Y2-P3	26.46	445.52	AGRITYPE-167		Ta	CONVENTIONAL
AF168-Ta-Y2	Y2	EAST	AF168-Ta-Y2-P4	25.16	398.14	AGRITYPE-167		Ta	CONVENTIONAL
AF169-Ta-Y2	Y2	EAST	AF169-Ta-Y2-P1	32.24	73.77	AGRITYPE-168		Ta	CONVENTIONAL
AF169-Ta-Y2	Y2	EAST	AF169-Ta-Y2-P2	32.86	137.88	AGRITYPE-168		Ta	CONVENTIONAL
AF169-Ta-Y2	Y2	EAST	AF169-Ta-Y2-P3	33.27	157.57	AGRITYPE-168		Ta	CONVENTIONAL
AF169-Ta-Y2	Y2	EAST	AF169-Ta-Y2-P4	31.56	124.57	AGRITYPE-168		Ta	CONVENTIONAL
AF152-Ta-Y2	Y2	EAST	AF152-Ta-Y2-P1	3.61	242.24	AGRITYPE-151		Ta	ORGANIC
AF152-Ta-Y2	Y2	EAST	AF152-Ta-Y2-P2	3.71	227.28	AGRITYPE-151		Ta	ORGANIC
AF152-Ta-Y2	Y2	EAST	AF152-Ta-Y2-P3	3.81	182.26	AGRITYPE-151		Ta	ORGANIC
AF152-Ta-Y2	Y2	EAST	AF152-Ta-Y2-P4	4.18	585.95	AGRITYPE-151		Ta	ORGANIC
AF153-Ta-Y2	Y2	EAST	AF153-Ta-Y2-P1	3.58	337.29	AGRITYPE-152		Ta	ORGANIC
AF153-Ta-Y2	Y2	EAST	AF153-Ta-Y2-P2	3.28	122.33	AGRITYPE-152		Ta	ORGANIC
AF153-Ta-Y2	Y2	EAST	AF153-Ta-Y2-P3	3.81	209.8	AGRITYPE-152		Ta	ORGANIC
AF153-Ta-Y2	Y2	EAST	AF153-Ta-Y2-P4	3.56	369.79	AGRITYPE-152		Ta	ORGANIC
AF154-Ta-Y2	Y2	EAST	AF154-Ta-Y2-P1	3.73	88.66	AGRITYPE-153		Ta	ORGANIC
AF154-Ta-Y2	Y2	EAST	AF154-Ta-Y2-P2	3.18	66.18000000000001	AGRITYPE-153		Ta	ORGANIC
AF154-Ta-Y2	Y2	EAST	AF154-Ta-Y2-P3	3.8	88.36	AGRITYPE-153		Ta	ORGANIC
AF154-Ta-Y2	Y2	EAST	AF154-Ta-Y2-P4	3.6	229.12	AGRITYPE-153		Ta	ORGANIC
AF156-Ta-Y2	Y2	EAST	AF156-Ta-Y2-P1	36.17	343.82	AGRITYPE-155		Ta	ORGANIC
AF156-Ta-Y2	Y2	EAST	AF156-Ta-Y2-P2	33.44	365.25	AGRITYPE-155		Ta	ORGANIC
AF156-Ta-Y2	Y2	EAST	AF156-Ta-Y2-P3	35.04	391.75	AGRITYPE-155		Ta	ORGANIC
AF156-Ta-Y2	Y2	EAST	AF156-Ta-Y2-P4	36.72	443.11	AGRITYPE-155		Ta	ORGANIC
AF161-Ta-Y2	Y2	EAST	AF161-Ta-Y2-P1	39.06	284.51	AGRITYPE-160		Ta	ORGANIC
AF161-Ta-Y2	Y2	EAST	AF161-Ta-Y2-P2	36.02	287.8	AGRITYPE-160		Ta	ORGANIC
AF161-Ta-Y2	Y2	EAST	AF161-Ta-Y2-P3	38.2	224.77	AGRITYPE-160		Ta	ORGANIC
AF161-Ta-Y2	Y2	EAST	AF161-Ta-Y2-P4	39.53	285.6	AGRITYPE-160		Ta	ORGANIC
AF165-Ta-Y2	Y2	EAST	AF165-Ta-Y2-P1	32.04	500.5	AGRITYPE-164		Ta	ORGANIC
AF165-Ta-Y2	Y2	EAST	AF165-Ta-Y2-P2	29.26	530.72	AGRITYPE-164		Ta	ORGANIC
AF165-Ta-Y2	Y2	EAST	AF165-Ta-Y2-P3	31.68	581.91	AGRITYPE-164		Ta	ORGANIC
AF165-Ta-Y2	Y2	EAST	AF165-Ta-Y2-P4	28.58	453.61	AGRITYPE-164		Ta	ORGANIC
AF166-Ta-Y2	Y2	EAST	AF166-Ta-Y2-P1	25.98	505.1	AGRITYPE-165		Ta	ORGANIC
AF166-Ta-Y2	Y2	EAST	AF166-Ta-Y2-P2	25.02	408.51	AGRITYPE-165		Ta	ORGANIC
AF166-Ta-Y2	Y2	EAST	AF166-Ta-Y2-P3	22.58	367.4	AGRITYPE-165		Ta	ORGANIC
AF166-Ta-Y2	Y2	EAST	AF166-Ta-Y2-P4	24.77	337.88	AGRITYPE-165		Ta	ORGANIC
AF160-Ta-Y2	Y2	EAST	AF160-Ta-Y2-P1	31.55	286.47	AGRITYPE-159		Ta	REASONABLE
AF160-Ta-Y2	Y2	EAST	AF160-Ta-Y2-P2	32.95	478	AGRITYPE-159		Ta	REASONABLE
AF160-Ta-Y2	Y2	EAST	AF160-Ta-Y2-P3	29.24	530.74	AGRITYPE-159		Ta	REASONABLE
AF160-Ta-Y2	Y2	EAST	AF160-Ta-Y2-P4	26.92	414.01	AGRITYPE-159		Ta	REASONABLE
AF167-Ta-Y2	Y2	EAST	AF167-Ta-Y2-P1	23.94	434.72	AGRITYPE-166		Ta	REASONABLE
AF167-Ta-Y2	Y2	EAST	AF167-Ta-Y2-P2	22.46	431.3	AGRITYPE-166		Ta	REASONABLE
AF167-Ta-Y2	Y2	EAST	AF167-Ta-Y2-P3	22.9	431.1	AGRITYPE-166		Ta	REASONABLE
AF167-Ta-Y2	Y2	EAST	AF167-Ta-Y2-P4	25.47	463.3	AGRITYPE-166		Ta	REASONABLE
