FIELD_ID1_Label	FIELD_ID1_CAMPAIGN	LOCATION1_REGION	AGRICULTURE1_SOIL_MANAGMENT	AGRICULTURE1_CROP	AGRICULTURE1_AGRI_TYPE	FIELD_SUB_ID1_SEASON	SOILS69_NITROGEN_TOTAL	SOILS69_PH	SOILS69_ORGANIC_MATTER	SOILS69_PHOSPHATE
AF005-Bn-Y1	Y1	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	3.27	6.2	64.15600000000001	95.7
AF010-Bn-Y1	Y1	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.9	6.9	31.304	73
AF060-Ta-Y1	Y1	WEST	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	2.82	7.9	47.472	25.2
AF061-Ta-Y1	Y1	WEST	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	3.46	6.8	61.576	174.6
AF060-Ta-Y1	Y1	WEST	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	2.92	7.9	48.16	395
AF061-Ta-Y1	Y1	WEST	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	2.76	7.4	41.968	489
AF100-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.61	6.8	29.412	108.8
AF101-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.29	6.4	25.972	90.59999999999999
AF102-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.41	6.9	23.908	123.1
AF103-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.48	5.8	44.548	129.4
AF104-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	3.27	6.2	64.15600000000001	95.7
AF105-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.49	5.6	49.536	280
AF106-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.08	6.3	35.432	66.2
AF107-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.75	6.9	28.552	181.7
AF108-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.09	6.5	32.68	153.4
AF109-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.9	6.9	31.304	73
AF110-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.41	6.3	29.24	64.40000000000001
AF111-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.11	7.2	24.94	46.7
AF112-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.54	6.5	29.756	79.09999999999999
AF113-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.45	7.8	27.004	73
AF114-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.04	8	38.528	24.4
AF115-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.77	6.7	16.512	105.5
AF116-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.46	8.1	44.548	62.4
AF117-Bn-Y2	Y2	EAST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.43	6.7	25.628	75.09999999999999
AF163-Ta-Y2	Y2	EAST	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	2.82	7.9	47.472	25.2
AF164-Ta-Y2	Y2	EAST	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	3.46	6.8	61.576	174.6
AF163-Ta-Y2	Y2	EAST	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	2.92	7.9	48.16	395
AF164-Ta-Y2	Y2	EAST	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	2.76	7.4	41.968	489
AF118-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	3.7	8	58.48	55
AF119-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.44	8	42.14	29.1
AF120-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.92	7.2	49.02	97.40000000000001
AF121-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.05	7.1	21.844	27.1
AF122-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1	6.7	20.296	92.90000000000001
AF123-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	2.45	7.8	40.764	45
AF124-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.15	6.5	22.704	59
AF125-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.97	7	19.952	28.2
AF126-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.55	6.9	29.928	66.2
AF127-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.04	6.8	22.016	63.1
AF128-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.7	7.8	35.604	60.4
AF129-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.38	7.6	34.4	148.5
AF130-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.02	6.9	20.296	20.5
AF131-Bn-Y2	Y2	SOUTH	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.69	7.3	33.712	118.3
AF172-Ta-Y2	Y2	SOUTH	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	3.89	6.7	58.48	54.6
AF173-Ta-Y2	Y2	SOUTH	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	2.39	8.1	36.98	39.6
AF172-Ta-Y2	Y2	SOUTH	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	4.49	6.4	77.744	153
AF173-Ta-Y2	Y2	SOUTH	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	2.41	8.1	41.624	115
AF132-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.47	7.2	27.52	80.3
AF133-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.88	6.2	28.896	26.1
AF134-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.13	8.4	22.188	12.3
AF135-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.08	6.7	18.404	24
AF136-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.25	6.5	23.392	33.8
AF137-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.34	8.199999999999999	25.972	74.40000000000001
AF138-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.16	8.300000000000001	19.264	57
AF139-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.26	8.4	19.264	52.3
AF140-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.21	8.4	19.092	37.1
AF141-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.93	6	17.372	29.8
AF142-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.99	6.2	17.544	48.4
AF143-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.82	5.7	14.792	48.6
AF144-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.18	6.1	21.844	57.5
AF145-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.11	6	20.984	31.8
AF146-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.98	8.199999999999999	17.028	21.6
AF147-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.1	8.1	19.78	43.7
AF148-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.18	6.1	21.844	57.5
AF149-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.11	6	20.984	31.8
AF150-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	0.98	8.199999999999999	17.028	21.6
AF151-Bn-Y2	Y2	WEST	DIRECT_DRILLING	Bn	CONVENTIONAL	S1	1.1	8.1	19.78	43.7
AF193-Ta-Y2	Y2	WEST	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	0.93	5.5	13.76	60.7
AF194-Ta-Y2	Y2	WEST	DIRECT_DRILLING	Ta	CONVENTIONAL	S1	1.31	6.4	19.952	107.4
AF193-Ta-Y2	Y2	WEST	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	1.22	7	19.608	173
AF194-Ta-Y2	Y2	WEST	DIRECT_DRILLING	Ta	CONVENTIONAL	S2	0.89	5.5	16.34	200
